bdld3_1_x6,model_1,0.07,90.39,0.5545,0.431,0.5311,80,87,1,bdld3_1_x6_model_1_multimer_v2_p1_221223_840062,1
bdld3_1_x6,model_2,0.08,80.63,0.4549,0.3834,0.2928,74,68,2,bdld3_1_x6_model_2_multimer_v2_p1_221223_840062,3
bdld3_1_x6,model_3,0.07,85.66,0.447,0.347,0.4118,80,84,3,bdld3_1_x6_model_3_multimer_v2_p1_221223_840062,1
bdld3_1_x6,model_5,0.08,84.95,0.4343,0.3405,0.3887,78,85,4,bdld3_1_x6_model_5_multimer_v2_p1_221223_840062,1
bdld3_1_x6,model_4,0.26,77.92,0.3591,0.2951,0.2063,58,50,5,bdld3_1_x6_model_4_multimer_v2_p1_221223_840062,4
bdld3_2_x6,model_1,0.08,94.31,0.7819,0.5937,0.6868,89,94,1,bdld3_2_x6_model_1_multimer_v2_p1_221223_555048,1
bdld3_2_x6,model_2,0.08,90.04,0.7202,0.643,0.6244,110,108,2,bdld3_2_x6_model_2_multimer_v2_p1_221223_555048,1
bdld3_2_x6,model_5,0.04,91.08,0.6334,0.5007,0.6019,92,87,3,bdld3_2_x6_model_5_multimer_v2_p1_221223_555048,1
bdld3_2_x6,model_3,0.09,87.11,0.4623,0.371,0.4642,84,76,4,bdld3_2_x6_model_3_multimer_v2_p1_221223_555048,1
bdld3_2_x6,model_4,0.09,87.35,0.456,0.3325,0.4276,75,76,5,bdld3_2_x6_model_4_multimer_v2_p1_221223_555048,1
bdld3_3_x6,model_1,0.09,92.66,0.8236,0.7268,0.7448,102,116,1,bdld3_3_x6_model_1_multimer_v2_p1_221223_713555,1
bdld3_3_x6,model_3,0.07,90.76,0.7831,0.6758,0.6804,108,114,2,bdld3_3_x6_model_3_multimer_v2_p1_221223_713555,1
bdld3_3_x6,model_5,0.08,89.75,0.7641,0.6787,0.6792,94,106,3,bdld3_3_x6_model_5_multimer_v2_p1_221223_713555,1
bdld3_3_x6,model_4,0.08,89.54,0.7163,0.6255,0.6132,97,109,4,bdld3_3_x6_model_4_multimer_v2_p1_221223_713555,1
bdld3_3_x6,model_2,0.09,83.79,0.5479,0.4853,0.4133,102,96,5,bdld3_3_x6_model_2_multimer_v2_p1_221223_713555,1
bdld3_4_x6,model_1,0.07,92.7,0.8293,0.7365,0.7333,111,128,1,bdld3_4_x6_model_1_multimer_v2_p1_221223_877248,1
bdld3_4_x6,model_5,0.08,86.97,0.7618,0.661,0.6416,101,124,2,bdld3_4_x6_model_5_multimer_v2_p1_221223_877248,1
bdld3_4_x6,model_3,0.07,84.66,0.6798,0.5892,0.5798,93,114,3,bdld3_4_x6_model_3_multimer_v2_p1_221223_877248,1
bdld3_4_x6,model_2,0.1,88.09,0.6721,0.576,0.5389,103,117,4,bdld3_4_x6_model_2_multimer_v2_p1_221223_877248,1
bdld3_4_x6,model_4,0.1,82.9,0.3892,0.3154,0.3797,88,86,5,bdld3_4_x6_model_4_multimer_v2_p1_221223_877248,1
bdld3_5_x6,model_4,1.14,56.08,0.2854,0.2871,0.6405,144,158,1,bdld3_5_x6_model_4_multimer_v2_p1_221223_676599,3
bdld3_5_x6,model_3,8.58,50.09,0.2515,0.258,0.5673,140,142,2,bdld3_5_x6_model_3_multimer_v2_p1_221223_676599,3
bdld3_5_x6,model_2,18.04,47.85,0.2395,0.2555,0.4411,130,149,3,bdld3_5_x6_model_2_multimer_v2_p1_221223_676599,2
bdld3_5_x6,model_1,3.4,57.63,0.2069,0.1403,0.0098,27,21,4,bdld3_5_x6_model_1_multimer_v2_p1_221223_676599,5
bdld3_5_x6,model_5,5.92,54.44,0.1905,0.0157,3e-04,11,6,5,bdld3_5_x6_model_5_multimer_v2_p1_221223_676599,6
bdld3_6_x6,model_1,0.08,90.24,0.7874,0.686,0.6727,98,115,1,bdld3_6_x6_model_1_multimer_v2_p1_221223_391177,1
bdld3_6_x6,model_3,0.06,87.59,0.7389,0.6296,0.6113,92,109,2,bdld3_6_x6_model_3_multimer_v2_p1_221223_391177,1
bdld3_6_x6,model_2,0.05,89.58,0.7311,0.6448,0.6276,107,125,3,bdld3_6_x6_model_2_multimer_v2_p1_221223_391177,1
bdld3_6_x6,model_4,0.1,86.14,0.4823,0.401,0.5266,97,100,4,bdld3_6_x6_model_4_multimer_v2_p1_221223_391177,1
bdld3_6_x6,model_5,0.04,77.34,0.3886,0.3013,0.2283,61,62,5,bdld3_6_x6_model_5_multimer_v2_p1_221223_391177,2
bdld3_7_x6,model_1,0.06,92.44,0.8373,0.6788,0.6859,75,83,1,bdld3_7_x6_model_1_multimer_v2_p1_221223_232991,4
bdld3_7_x6,model_3,1.14,90.4,0.6664,0.4869,0.597,76,80,2,bdld3_7_x6_model_3_multimer_v2_p1_221223_232991,1
bdld3_7_x6,model_4,0.08,86.77,0.4676,0.3647,0.4559,88,98,3,bdld3_7_x6_model_4_multimer_v2_p1_221223_232991,1
bdld3_7_x6,model_5,0.08,84.85,0.4501,0.3566,0.4306,83,93,4,bdld3_7_x6_model_5_multimer_v2_p1_221223_232991,1
bdld3_7_x6,model_2,0.25,77.42,0.3116,0.2362,0.1162,42,30,5,bdld3_7_x6_model_2_multimer_v2_p1_221223_232991,5
bdld3_8_x6,model_4,0.23,87.92,0.5526,0.3606,0.4153,96,92,1,bdld3_8_x6_model_4_multimer_v2_p1_221223_523193,1
bdld3_8_x6,model_5,0.06,86.91,0.5325,0.4113,0.48,82,77,2,bdld3_8_x6_model_5_multimer_v2_p1_221223_523193,1
bdld3_8_x6,model_1,1.36,74.93,0.2327,0.0118,2e-04,9,5,3,bdld3_8_x6_model_1_multimer_v2_p1_221223_523193,6
bdld3_8_x6,model_2,1.17,75.86,0.2262,0.0014,0,2,1,4,bdld3_8_x6_model_2_multimer_v2_p1_221223_523193,6
bdld3_8_x6,model_3,1.52,76.86,0.2228,0,0,0,0,5,bdld3_8_x6_model_3_multimer_v2_p1_221223_523193,6
bdld3_9_x6,model_3,0.05,86.36,0.7483,0.6645,0.6236,104,112,1,bdld3_9_x6_model_3_multimer_v2_p1_221223_956993,1
bdld3_9_x6,model_1,0.08,92.33,0.7369,0.549,0.65,85,88,2,bdld3_9_x6_model_1_multimer_v2_p1_221223_956993,1
bdld3_9_x6,model_5,0.07,90.61,0.6572,0.5138,0.6193,88,98,3,bdld3_9_x6_model_5_multimer_v2_p1_221223_956993,1
bdld3_9_x6,model_4,0.1,89.96,0.6209,0.4666,0.5771,90,100,4,bdld3_9_x6_model_4_multimer_v2_p1_221223_956993,1
bdld3_9_x6,model_2,0.07,84.1,0.5994,0.5205,0.4878,97,100,5,bdld3_9_x6_model_2_multimer_v2_p1_221223_956993,3
bdld3_10_x6,model_1,0.09,91.54,0.8344,0.699,0.7235,107,115,1,bdld3_10_x6_model_1_multimer_v2_p1_221223_088593,1
bdld3_10_x6,model_2,0.08,84.94,0.6276,0.5437,0.5161,104,109,2,bdld3_10_x6_model_2_multimer_v2_p1_221223_088593,1
bdld3_10_x6,model_3,0.07,78.05,0.5441,0.4618,0.4591,88,87,3,bdld3_10_x6_model_3_multimer_v2_p1_221223_088593,2
bdld3_10_x6,model_5,0.05,84.23,0.4806,0.3665,0.4382,87,92,4,bdld3_10_x6_model_5_multimer_v2_p1_221223_088593,1
bdld3_10_x6,model_4,4.59,67.35,0.2108,0.0105,2e-04,12,8,5,bdld3_10_x6_model_4_multimer_v2_p1_221223_088593,6
bdld3_11_x6,model_1,0.08,85.88,0.6378,0.5582,0.5219,98,102,1,bdld3_11_x6_model_1_multimer_v2_p1_221223_386688,2
bdld3_11_x6,model_5,0.08,89.72,0.5938,0.4883,0.5795,93,93,2,bdld3_11_x6_model_5_multimer_v2_p1_221223_386688,1
bdld3_11_x6,model_3,1.2,75.26,0.226,0.0794,0.0028,23,17,3,bdld3_11_x6_model_3_multimer_v2_p1_221223_386688,6
